episode,epsilon,Q_Up,Q_Down,Q_LEFT,Q_RIGHT,visits
2500,0.97525,-1412.288216575658,-892.033977143761,-15.00295429510134,-8076.619043789262,2403.0
3000,0.9703,-1243.1401815580261,-1467.6025644937154,-14.68239057749465,-7148.61727837316,2833.0
3500,0.96535,-787.9990110149191,-320.94156402506997,-12.124429750800136,-6996.128069749777,3290.0
4000,0.9604,-284.7771279338398,-2055.93659588875,-9.964766189858498,-8828.183425123449,3666.0
4500,0.95545,-1602.7962167663864,-667.4304655158841,-11.74914074350337,-7855.064553740115,4135.0
5000,0.9505,-2163.8576863518997,-85.1684536341277,-13.687597414680614,-8390.636078067244,4599.0
5500,0.94555,-1801.3982741846387,-1409.492587034265,-13.931548108233088,-7678.327792787263,4977.0
6000,0.9406,-716.175935296298,-1579.3950111814665,-12.894602510670309,-7756.455047062649,5386.0
6500,0.93565,-723.7784488022869,-1455.5812547207224,-12.188036689010712,-5907.911265433446,5722.0
7000,0.9307,-1301.8032838385006,-877.0008776463154,-12.757060198206188,-8337.918613484038,6089.0
7500,0.92575,-1808.4441530372178,-308.92504982825005,-10.03927457174543,-8541.082850580697,6453.0
8000,0.9208,-464.62558316252336,-2046.1735700206477,-12.29958479775624,-7824.641809799326,6800.0
8500,0.91585,-1338.4711844048882,-604.3327845791874,-12.06377215812254,-8343.999484291315,7138.0
9000,0.9109,-473.22186748611966,-1532.4613862845356,-13.951854074743789,-6977.749100539138,7521.0
9500,0.90595,-1203.8929604625994,-574.1557889725345,-11.399366558228722,-8599.695864036943,7832.0
10000,0.901,-2385.294732970323,-386.21777224879105,-10.352397456216535,-8828.657551480259,8092.0
10500,0.89605,-951.9337416231157,-1761.9534662236488,-11.596897729756689,-8993.932323151377,8390.0
11000,0.8911,-2180.737297981549,-1335.6508742560966,-12.024446444780327,-8790.284506990425,8657.0
11500,0.88615,-1412.1613578220765,-91.22090172086553,-12.434386263270497,-9318.565459360054,8916.0
12000,0.8812,-1934.3132791844337,-700.9252306226813,-15.584561660244749,-8643.34151363928,9168.0
12500,0.87625,-471.8409157101,-361.8666377493943,-14.4169499962449,-6704.642225881267,9405.0
13000,0.8713,-853.693717884838,-304.18411846257266,-16.425587845655702,-8323.864455300083,9602.0
13500,0.86635,-1615.4739575619874,-366.57336174375473,-13.675297711656778,-5713.694803622335,9882.0
14000,0.8613999999999999,-821.1429081028978,-699.4602191146187,-13.826785449776063,-8680.973074617585,10093.0
14500,0.85645,-761.023679383169,-483.7322275017633,-15.481534754252468,-8196.068362372302,10333.0
15000,0.8515,-1087.244368145693,-1061.5358446284938,-18.97335546488345,-7425.312309614427,10564.0
15500,0.84655,-159.96249698245413,-2072.8659583493513,-17.5492623601024,-7585.156868693344,10761.0
16000,0.8416,-1091.412246589301,-95.35190824168434,-12.689712895602849,-8447.199323520974,11014.0
16500,0.83665,-323.89124525753465,-493.80967529905763,-14.618680590092815,-8316.900301423673,11264.0
17000,0.8317,-1701.9581601267676,-2813.781764948283,-11.656508222608752,-7497.24848492091,11454.0
17500,0.82675,-2388.2732251828356,-867.1869552764318,-11.666979228180285,-8244.641957110378,11591.0
18000,0.8218,-1285.0413589268605,-829.6712900159232,-16.766737276748835,-8027.176274066348,11745.0
18500,0.81685,-3248.905529994763,-770.0672049016889,-13.337880113021527,-9460.524276512217,11876.0
19000,0.8119000000000001,-1069.8345258201498,-1629.4334775421223,-14.096957237835202,-9298.563797400606,12027.0
19500,0.8069500000000001,-1695.494684329239,-1426.1475680860003,-13.235923181211248,-7745.220481299126,12203.0
20000,0.802,-1140.6296886363261,-1322.2943310420242,-9.998310661662881,-7920.260149094483,12352.0
20500,0.79705,-1379.4008427999413,-2287.833813673581,-10.867717894205468,-8391.1978119771,12445.0
21000,0.7921,-2112.0957719992457,-1301.061813369032,-12.07843149994171,-7065.36293532852,12593.0
21500,0.78715,-1329.1383214640764,-1382.6418289831743,-11.791321646219457,-8034.481522843862,12712.0
22000,0.7822,-1851.960754205965,-1154.9297525092386,-13.600788314291828,-8277.69878317582,12854.0
22500,0.77725,-976.8578260056723,-585.3170991307853,-13.324070743280426,-7043.728826881368,12963.0
23000,0.7723,-585.7411111809082,-492.31974874817035,-12.697529439404535,-7259.4703574988625,13064.0
23500,0.76735,-1253.279761763693,-3913.607049716611,-10.62196512140049,-8190.575209119948,13155.0
24000,0.7624,-87.40978758554833,-823.0859890201593,-11.757890468518164,-8185.13297417605,13276.0
